DBN,School Name,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
09X555,Mount Eden Children's Academy,2020-21,421,1,53,51,56,66,66,64,64,0,0,0,0,0,0,0,212,50.4%,209,49.6%,1,0.2%,78,18.5%,335,79.6%,4,1.0%,1,0.2%,2,0.5%,0,0.0%,71,16.9%,77,18.3%,387,91.9%,89.3%
09X555,Mount Eden Children's Academy,2021-22,419,0,54,51,55,66,67,62,64,0,0,0,0,0,0,0,215,51.3%,204,48.7%,1,0.2%,65,15.5%,345,82.3%,4,1.0%,1,0.2%,3,0.7%,0,0.0%,64,15.3%,95,22.7%,393,93.8%,88.8%
09X564,Claremont International HS,2017-18,382,0,0,0,0,0,0,0,0,0,0,0,87,101,85,109,204,53.4%,178,46.6%,29,7.6%,90,23.6%,245,64.1%,0,0.0%,3,0.8%,15,3.9%,0,0.0%,20,5.2%,326,85.3%,Above 95%,Above 95%,Above 95%
09X564,Claremont International HS,2018-19,361,0,0,0,0,0,0,0,0,0,0,0,110,71,90,90,192,53.2%,169,46.8%,27,7.5%,71,19.7%,245,67.9%,0,0.0%,3,0.8%,15,4.2%,0,0.0%,26,7.2%,305,84.5%,Above 95%,Above 95%,Above 95%
09X564,Claremont International HS,2019-20,363,0,0,0,0,0,0,0,0,0,0,0,99,104,78,82,183,50.4%,180,49.6%,20,5.5%,60,16.5%,270,74.4%,0,0.0%,3,0.8%,10,2.8%,0,0.0%,29,8.0%,314,86.5%,Above 95%,Above 95%,Above 95%
09X564,Claremont International HS,2020-21,332,0,0,0,0,0,0,0,0,0,0,0,64,82,116,70,165,49.7%,167,50.3%,13,3.9%,54,16.3%,251,75.6%,0,0.0%,4,1.2%,10,3.0%,0,0.0%,24,7.2%,277,83.4%,Above 95%,Above 95%,Above 95%
09X564,Claremont International HS,2021-22,334,0,0,0,0,0,0,0,0,0,0,0,78,63,91,102,156,46.7%,178,53.3%,10,3.0%,58,17.4%,258,77.2%,0,0.0%,4,1.2%,4,1.2%,0,0.0%,33,9.9%,294,88.0%,275,82.3%,Above 95%
09X568,Young Women's Leadership School of the Bronx,2017-18,465,0,0,0,0,0,0,0,0,95,81,76,83,68,62,0,465,100.0%,0,0.0%,12,2.6%,170,36.6%,271,58.3%,1,0.2%,3,0.6%,5,1.1%,3,0.6%,92,19.8%,28,6.0%,406,87.3%,83.2%
09X568,Young Women's Leadership School of the Bronx,2018-19,536,0,0,0,0,0,0,0,0,85,90,76,94,66,66,59,536,100.0%,0,0.0%,14,2.6%,173,32.3%,328,61.2%,1,0.2%,6,1.1%,9,1.7%,5,0.9%,97,18.1%,26,4.9%,454,84.7%,82.1%
09X568,Young Women's Leadership School of the Bronx,2019-20,537,0,0,0,0,0,0,0,0,86,76,85,85,80,62,63,537,100.0%,0,0.0%,17,3.2%,162,30.2%,341,63.5%,2,0.4%,4,0.7%,7,1.3%,4,0.7%,95,17.7%,26,4.8%,463,86.2%,83.9%
09X568,Young Women's Leadership School of the Bronx,2020-21,554,0,0,0,0,0,0,0,0,102,81,74,82,89,71,55,554,100.0%,0,0.0%,20,3.6%,161,29.1%,353,63.7%,2,0.4%,6,1.1%,10,1.8%,2,0.4%,101,18.2%,39,7.0%,483,87.2%,85.1%
09X568,Young Women's Leadership School of the Bronx,2021-22,539,0,0,0,0,0,0,0,0,70,79,78,91,77,83,61,539,100.0%,0,0.0%,24,4.5%,145,26.9%,352,65.3%,4,0.7%,3,0.6%,9,1.7%,2,0.4%,96,17.8%,44,8.2%,459,85.2%,84.5%
09X582,Garden of Learning and Discovery Pre-K Center,2017-18,82,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37.8%,51,62.2%,11,13.4%,14,17.1%,55,67.1%,0,0.0%,0,0.0%,2,2.4%,0,0.0%,13,15.9%,0,0.0%,61,74.4%,85.9%
09X582,Garden of Learning and Discovery Pre-K Center,2018-19,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,47,53.4%,41,46.6%,2,2.3%,20,22.7%,64,72.7%,0,0.0%,0,0.0%,2,2.3%,0,0.0%,14,15.9%,0,0.0%,73,83.0%,90.0%
09X582,Garden of Learning and Discovery Pre-K Center,2019-20,95,16,79,0,0,0,0,0,0,0,0,0,0,0,0,0,56,58.9%,39,41.1%,7,7.4%,26,27.4%,58,61.1%,1,1.1%,0,0.0%,3,3.2%,0,0.0%,28,29.5%,0,0.0%,66,69.5%,79.1%
09X582,Garden of Learning and Discovery Pre-K Center,2020-21,73,19,54,0,0,0,0,0,0,0,0,0,0,0,0,0,33,45.2%,40,54.8%,6,8.2%,18,24.7%,47,64.4%,1,1.4%,0,0.0%,1,1.4%,0,0.0%,21,28.8%,0,0.0%,51,69.9%,83.2%
09X582,Garden of Learning and Discovery Pre-K Center,2021-22,91,25,66,0,0,0,0,0,0,0,0,0,0,0,0,0,50,54.9%,41,45.1%,4,4.4%,25,27.5%,58,63.7%,0,0.0%,0,0.0%,4,4.4%,0,0.0%,23,25.3%,0,0.0%,66,72.5%,83.6%
09X593,South Bronx International Middle School,2018-19,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,25,55.6%,20,44.4%,0,0.0%,7,15.6%,38,84.4%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,8,17.8%,40,88.9%,41,91.1%,Above 95%
09X593,South Bronx International Middle School,2019-20,96,0,0,0,0,0,0,0,0,36,60,0,0,0,0,0,47,49.0%,49,51.0%,0,0.0%,11,11.5%,83,86.5%,0,0.0%,0,0.0%,2,2.1%,0,0.0%,15,15.6%,89,92.7%,87,90.6%,92.9%
09X593,South Bronx International Middle School,2020-21,138,0,0,0,0,0,0,0,0,29,47,62,0,0,0,0,67,48.6%,71,51.4%,1,0.7%,20,14.5%,115,83.3%,0,0.0%,0,0.0%,2,1.4%,0,0.0%,21,15.2%,122,88.4%,Above 95%,Above 95%,93.4%
09X593,South Bronx International Middle School,2021-22,144,0,0,0,0,0,0,0,0,54,39,51,0,0,0,0,70,48.6%,74,51.4%,1,0.7%,22,15.3%,121,84.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,24,16.7%,111,77.1%,Above 95%,Above 95%,92.3%
09X594,New Pathways Academy,2018-19,197,0,0,0,0,0,0,0,0,78,76,43,0,0,0,0,90,45.7%,107,54.3%,1,0.5%,55,27.9%,138,70.1%,0,0.0%,2,1.0%,1,0.5%,0,0.0%,61,31.0%,60,30.5%,Above 95%,Above 95%,Above 95%
09X594,New Pathways Academy,2019-20,252,0,0,0,0,0,0,0,0,86,88,78,0,0,0,0,114,45.2%,138,54.8%,2,0.8%,64,25.4%,181,71.8%,0,0.0%,4,1.6%,1,0.4%,0,0.0%,69,27.4%,78,31.0%,228,90.5%,92.8%
09X594,New Pathways Academy,2020-21,241,0,0,0,0,0,0,0,0,71,81,89,0,0,0,0,105,43.6%,136,56.4%,3,1.2%,73,30.3%,160,66.4%,0,0.0%,3,1.2%,2,0.8%,0,0.0%,80,33.2%,62,25.7%,226,93.8%,93.8%
09X594,New Pathways Academy,2021-22,193,0,0,0,0,0,0,0,0,40,70,83,0,0,0,0,93,48.2%,100,51.8%,0,0.0%,73,37.8%,115,59.6%,0,0.0%,1,0.5%,4,2.1%,0,0.0%,58,30.1%,58,30.1%,177,91.7%,90.7%
10X003,P.S. 3 Raul Julia Micro Society,2017-18,348,0,23,42,32,32,30,40,36,33,31,49,0,0,0,0,183,52.6%,165,47.4%,3,0.9%,101,29.0%,243,69.8%,0,0.0%,0,0.0%,1,0.3%,0,0.0%,75,21.6%,45,12.9%,330,94.8%,91.6%
10X003,P.S. 3 Raul Julia Micro Society,2018-19,321,0,26,39,30,31,27,31,35,42,29,31,0,0,0,0,179,55.8%,142,44.2%,0,0.0%,91,28.3%,229,71.3%,0,0.0%,0,0.0%,1,0.3%,0,0.0%,70,21.8%,48,15.0%,Above 95%,Above 95%,91.6%
10X003,P.S. 3 Raul Julia Micro Society,2019-20,329,11,25,39,32,31,28,29,29,37,40,28,0,0,0,0,181,55.0%,148,45.0%,1,0.3%,93,28.3%,233,70.8%,0,0.0%,0,0.0%,2,0.6%,0,0.0%,89,27.1%,51,15.5%,Above 95%,Above 95%,91.0%
10X003,P.S. 3 Raul Julia Micro Society,2020-21,336,4,27,38,36,32,28,26,30,39,35,41,0,0,0,0,176,52.4%,160,47.6%,0,0.0%,85,25.3%,249,74.1%,0,0.0%,0,0.0%,2,0.6%,0,0.0%,98,29.2%,54,16.1%,Above 95%,Above 95%,91.7%
10X003,P.S. 3 Raul Julia Micro Society,2021-22,316,19,23,28,31,32,30,26,24,37,35,31,0,0,0,0,159,50.3%,157,49.7%,1,0.3%,91,28.8%,221,69.9%,0,0.0%,1,0.3%,2,0.6%,0,0.0%,86,27.2%,49,15.5%,297,94.0%,86.1%
10X007,Milton Fein School,2017-18,758,0,0,66,81,86,200,157,168,0,0,0,0,0,0,0,387,51.1%,371,48.9%,36,4.7%,47,6.2%,620,81.8%,3,0.4%,0,0.0%,52,6.9%,0,0.0%,103,13.6%,170,22.4%,626,82.6%,77.0%
10X007,Milton Fein School,2018-19,688,0,0,78,82,84,103,189,152,0,0,0,0,0,0,0,349,50.7%,339,49.3%,44,6.4%,41,6.0%,543,78.9%,2,0.3%,2,0.3%,56,8.1%,0,0.0%,86,12.5%,139,20.2%,554,80.5%,75.2%
10X007,Milton Fein School,2019-20,604,0,0,62,84,86,85,104,183,0,0,0,0,0,0,0,316,52.3%,288,47.7%,39,6.5%,50,8.3%,467,77.3%,1,0.2%,1,0.2%,46,7.6%,0,0.0%,79,13.1%,107,17.7%,488,80.8%,77.8%
10X007,Milton Fein School,2020-21,494,0,0,60,75,87,86,87,99,0,0,0,0,0,0,0,256,51.8%,238,48.2%,37,7.5%,39,7.9%,373,75.5%,1,0.2%,2,0.4%,41,8.3%,1,0.2%,67,13.6%,90,18.2%,418,84.6%,77.5%
10X007,Milton Fein School,2021-22,423,0,0,62,62,63,77,78,81,0,0,0,0,0,0,0,214,50.6%,209,49.4%,26,6.1%,36,8.5%,313,74.0%,8,1.9%,1,0.2%,38,9.0%,1,0.2%,60,14.2%,71,16.8%,333,78.7%,78.8%
10X008,P.S. 008 Isaac Varian,2017-18,"1,001",0,0,143,150,146,176,201,185,0,0,0,0,0,0,0,477,47.7%,524,52.3%,44,4.4%,80,8.0%,801,80.0%,3,0.3%,9,0.9%,63,6.3%,1,0.1%,255,25.5%,263,26.3%,877,87.6%,86.8%
10X008,P.S. 008 Isaac Varian,2018-19,939,0,0,141,146,151,140,169,192,0,0,0,0,0,0,0,466,49.6%,473,50.4%,54,5.8%,71,7.6%,742,79.0%,2,0.2%,7,0.7%,62,6.6%,1,0.1%,212,22.6%,240,25.6%,823,87.6%,86.0%
10X008,P.S. 008 Isaac Varian,2019-20,897,0,18,147,140,145,145,142,160,0,0,0,0,0,0,0,449,50.1%,448,49.9%,65,7.2%,71,7.9%,699,77.9%,2,0.2%,6,0.7%,53,5.9%,1,0.1%,205,22.9%,199,22.2%,801,89.3%,88.0%
10X008,P.S. 008 Isaac Varian,2020-21,842,0,17,129,140,127,144,145,140,0,0,0,0,0,0,0,417,49.5%,425,50.5%,60,7.1%,61,7.2%,664,78.9%,2,0.2%,8,1.0%,43,5.1%,4,0.5%,167,19.8%,181,21.5%,747,88.7%,89.0%
10X008,P.S. 008 Isaac Varian,2021-22,726,0,15,102,124,126,108,128,123,0,0,0,0,0,0,0,346,47.7%,380,52.3%,58,8.0%,54,7.4%,562,77.4%,2,0.3%,7,1.0%,42,5.8%,1,0.1%,149,20.5%,168,23.1%,653,89.9%,88.3%
10X009,P.S. 9 Ryer Avenue Elementary School,2017-18,850,0,71,117,129,115,135,145,138,0,0,0,0,0,0,0,413,48.6%,437,51.4%,16,1.9%,132,15.5%,679,79.9%,1,0.1%,14,1.6%,8,0.9%,0,0.0%,187,22.0%,268,31.5%,791,93.1%,Above 95%
10X009,P.S. 9 Ryer Avenue Elementary School,2018-19,830,0,69,101,121,117,142,145,135,0,0,0,0,0,0,0,422,50.8%,408,49.2%,17,2.0%,124,14.9%,670,80.7%,1,0.1%,10,1.2%,8,1.0%,0,0.0%,185,22.3%,262,31.6%,774,93.3%,Above 95%
10X009,P.S. 9 Ryer Avenue Elementary School,2019-20,815,0,71,93,97,117,157,144,136,0,0,0,0,0,0,0,422,51.8%,393,48.2%,17,2.1%,115,14.1%,668,82.0%,2,0.2%,8,1.0%,5,0.6%,0,0.0%,172,21.1%,253,31.0%,762,93.5%,Above 95%
10X009,P.S. 9 Ryer Avenue Elementary School,2020-21,759,0,40,95,93,91,151,152,137,0,0,0,0,0,0,0,384,50.6%,375,49.4%,14,1.8%,107,14.1%,620,81.7%,3,0.4%,8,1.1%,6,0.8%,1,0.1%,175,23.1%,243,32.0%,715,94.2%,Above 95%
10X009,P.S. 9 Ryer Avenue Elementary School,2021-22,660,0,51,64,93,84,108,125,135,0,0,0,0,0,0,0,334,50.6%,326,49.4%,12,1.8%,90,13.6%,543,82.3%,2,0.3%,5,0.8%,8,1.2%,0,0.0%,148,22.4%,202,30.6%,620,93.9%,94.6%
10X015,P.S. X015 Institute for Environmental Learning,2017-18,480,0,0,45,49,53,47,62,51,59,58,56,0,0,0,0,262,54.6%,218,45.4%,5,1.0%,55,11.5%,414,86.3%,3,0.6%,2,0.4%,1,0.2%,0,0.0%,93,19.4%,47,9.8%,383,79.8%,87.8%
10X015,P.S. X015 Institute for Environmental Learning,2018-19,475,0,0,45,47,52,50,46,62,59,59,55,0,0,0,0,261,54.9%,214,45.1%,7,1.5%,54,11.4%,409,86.1%,3,0.6%,2,0.4%,0,0.0%,0,0.0%,98,20.6%,54,11.4%,375,78.9%,86.7%
10X015,P.S. X015 Institute for Environmental Learning,2019-20,485,0,0,42,45,52,50,56,48,67,67,58,0,0,0,0,268,55.3%,217,44.7%,7,1.4%,54,11.1%,416,85.8%,4,0.8%,4,0.8%,0,0.0%,0,0.0%,116,23.9%,85,17.5%,395,81.4%,87.9%
10X015,P.S. X015 Institute for Environmental Learning,2020-21,463,0,0,39,41,43,50,46,53,65,63,63,0,0,0,0,253,54.6%,210,45.4%,8,1.7%,49,10.6%,398,86.0%,3,0.6%,5,1.1%,0,0.0%,0,0.0%,128,27.6%,93,20.1%,370,79.9%,86.6%
10X015,P.S. X015 Institute for Environmental Learning,2021-22,407,0,0,33,38,38,36,48,40,61,58,55,0,0,0,0,222,54.5%,185,45.5%,4,1.0%,40,9.8%,352,86.5%,4,1.0%,5,1.2%,2,0.5%,0,0.0%,104,25.6%,92,22.6%,324,79.6%,84.9%
10X020,"PS/MS 20 P.O.George J. Werdann, III",2017-18,"1,072",0,18,99,103,116,122,109,141,123,122,119,0,0,0,0,517,48.2%,555,51.8%,99,9.2%,117,10.9%,776,72.4%,1,0.1%,21,2.0%,58,5.4%,0,0.0%,282,26.3%,259,24.2%,"1,018",95.0%,88.0%
10X020,"PS/MS 20 P.O.George J. Werdann, III",2018-19,988,0,18,82,85,91,110,124,108,126,128,116,0,0,0,0,465,47.1%,523,52.9%,82,8.3%,113,11.4%,726,73.5%,1,0.1%,16,1.6%,50,5.1%,0,0.0%,285,28.8%,251,25.4%,Above 95%,Above 95%,88.6%
10X020,"PS/MS 20 P.O.George J. Werdann, III",2019-20,907,0,18,69,72,87,86,104,109,121,126,115,0,0,0,0,442,48.7%,465,51.3%,65,7.2%,94,10.4%,686,75.6%,2,0.2%,17,1.9%,43,4.7%,0,0.0%,247,27.2%,229,25.2%,844,93.1%,90.6%
10X020,"PS/MS 20 P.O.George J. Werdann, III",2020-21,857,0,17,76,70,70,86,79,95,122,116,126,0,0,0,0,418,48.8%,439,51.2%,64,7.5%,92,10.7%,638,74.4%,2,0.2%,17,2.0%,41,4.8%,3,0.4%,226,26.4%,229,26.7%,814,95.0%,91.0%
10X020,"PS/MS 20 P.O.George J. Werdann, III",2021-22,789,0,16,70,79,67,67,79,74,123,110,104,0,0,0,0,370,46.9%,419,53.1%,58,7.4%,92,11.7%,583,73.9%,2,0.3%,12,1.5%,39,4.9%,3,0.4%,191,24.2%,202,25.6%,748,94.8%,90.8%
10X023,P.S. 023 The New Children's School,2017-18,488,0,46,71,85,56,66,95,69,0,0,0,0,0,0,0,239,49.0%,249,51.0%,2,0.4%,170,34.8%,309,63.3%,2,0.4%,0,0.0%,5,1.0%,0,0.0%,126,25.8%,93,19.1%,454,93.0%,Above 95%
10X023,P.S. 023 The New Children's School,2018-19,445,0,54,49,80,62,54,63,83,0,0,0,0,0,0,0,211,47.4%,234,52.6%,3,0.7%,148,33.3%,285,64.0%,4,0.9%,1,0.2%,4,0.9%,0,0.0%,120,27.0%,90,20.2%,Above 95%,Above 95%,Above 95%
10X023,P.S. 023 The New Children's School,2019-20,441,6,49,64,61,79,61,55,66,0,0,0,0,0,0,0,209,47.4%,232,52.6%,4,0.9%,134,30.4%,298,67.6%,1,0.2%,0,0.0%,4,0.9%,0,0.0%,134,30.4%,86,19.5%,Above 95%,Above 95%,Above 95%
10X023,P.S. 023 The New Children's School,2020-21,399,2,44,59,62,57,75,53,47,0,0,0,0,0,0,0,190,47.6%,209,52.4%,4,1.0%,119,29.8%,273,68.4%,0,0.0%,0,0.0%,3,0.8%,0,0.0%,122,30.6%,75,18.8%,368,92.2%,94.8%
10X023,P.S. 023 The New Children's School,2021-22,368,14,31,50,57,54,53,66,43,0,0,0,0,0,0,0,181,49.2%,187,50.8%,4,1.1%,99,26.9%,260,70.7%,0,0.0%,1,0.3%,4,1.1%,0,0.0%,106,28.8%,74,20.1%,345,93.8%,94.3%
10X024,P.S. 024 Spuyten Duyvil,2017-18,915,0,0,170,138,163,153,146,145,0,0,0,0,0,0,0,441,48.2%,474,51.8%,81,8.9%,58,6.3%,387,42.3%,38,4.2%,4,0.4%,346,37.8%,1,0.1%,126,13.8%,41,4.5%,257,28.1%,27.5%
10X024,P.S. 024 Spuyten Duyvil,2018-19,844,0,0,148,159,121,150,139,127,0,0,0,0,0,0,0,408,48.3%,436,51.7%,77,9.1%,61,7.2%,364,43.1%,38,4.5%,4,0.5%,300,35.5%,0,0.0%,125,14.8%,36,4.3%,239,28.3%,26.0%
10X024,P.S. 024 Spuyten Duyvil,2019-20,844,0,0,152,151,155,117,138,131,0,0,0,0,0,0,0,399,47.3%,445,52.7%,76,9.0%,70,8.3%,368,43.6%,33,3.9%,5,0.6%,292,34.6%,0,0.0%,134,15.9%,46,5.5%,262,31.0%,27.8%
10X024,P.S. 024 Spuyten Duyvil,2020-21,795,0,0,143,137,140,143,101,131,0,0,0,0,0,0,0,368,46.3%,427,53.7%,77,9.7%,66,8.3%,351,44.2%,34,4.3%,5,0.6%,262,33.0%,0,0.0%,120,15.1%,50,6.3%,241,30.3%,30.1%
10X024,P.S. 024 Spuyten Duyvil,2021-22,715,0,0,124,128,111,121,129,102,0,0,0,0,0,0,0,340,47.6%,375,52.4%,61,8.5%,56,7.8%,317,44.3%,32,4.5%,3,0.4%,245,34.3%,1,0.1%,112,15.7%,36,5.0%,225,31.5%,32.6%
10X032,P.S. 032 Belmont,2017-18,819,0,35,114,115,140,142,137,136,0,0,0,0,0,0,0,443,54.1%,376,45.9%,6,0.7%,178,21.7%,611,74.6%,2,0.2%,4,0.5%,18,2.2%,0,0.0%,200,24.4%,138,16.8%,Above 95%,Above 95%,Above 95%
10X032,P.S. 032 Belmont,2018-19,758,0,36,104,104,120,131,134,129,0,0,0,0,0,0,0,408,53.8%,350,46.2%,7,0.9%,136,17.9%,589,77.7%,1,0.1%,6,0.8%,19,2.5%,0,0.0%,184,24.3%,134,17.7%,Above 95%,Above 95%,Above 95%
10X032,P.S. 032 Belmont,2019-20,728,0,36,106,101,120,119,121,125,0,0,0,0,0,0,0,370,50.8%,358,49.2%,5,0.7%,130,17.9%,565,77.6%,4,0.5%,8,1.1%,16,2.2%,0,0.0%,194,26.6%,135,18.5%,Above 95%,Above 95%,Above 95%
10X032,P.S. 032 Belmont,2020-21,672,0,32,87,109,99,115,112,118,0,0,0,0,0,0,0,336,50.0%,336,50.0%,3,0.4%,133,19.8%,512,76.2%,2,0.3%,8,1.2%,14,2.1%,0,0.0%,182,27.1%,123,18.3%,Above 95%,Above 95%,Above 95%
10X032,P.S. 032 Belmont,2021-22,625,0,36,96,81,97,86,113,116,0,0,0,0,0,0,0,315,50.4%,310,49.6%,4,0.6%,107,17.1%,489,78.2%,2,0.3%,10,1.6%,13,2.1%,0,0.0%,146,23.4%,115,18.4%,Above 95%,Above 95%,94.0%
10X033,P.S. 033 Timothy Dwight,2017-18,919,0,54,133,134,142,149,148,159,0,0,0,0,0,0,0,464,50.5%,455,49.5%,9,1.0%,98,10.7%,786,85.5%,2,0.2%,14,1.5%,10,1.1%,0,0.0%,192,20.9%,228,24.8%,847,92.2%,Above 95%
10X033,P.S. 033 Timothy Dwight,2018-19,890,0,54,129,142,138,132,147,148,0,0,0,0,0,0,0,445,50.0%,445,50.0%,6,0.7%,87,9.8%,765,86.0%,1,0.1%,21,2.4%,10,1.1%,0,0.0%,196,22.0%,215,24.2%,823,92.5%,Above 95%
10X033,P.S. 033 Timothy Dwight,2019-20,848,0,72,108,126,131,138,132,141,0,0,0,0,0,0,0,436,51.4%,412,48.6%,9,1.1%,78,9.2%,736,86.8%,2,0.2%,15,1.8%,7,0.8%,1,0.1%,167,19.7%,198,23.3%,780,92.0%,Above 95%
10X033,P.S. 033 Timothy Dwight,2020-21,746,0,49,92,103,123,124,132,123,0,0,0,0,0,0,0,377,50.5%,369,49.5%,6,0.8%,74,9.9%,646,86.6%,0,0.0%,13,1.7%,6,0.8%,1,0.1%,153,20.5%,175,23.5%,686,92.0%,Above 95%
10X033,P.S. 033 Timothy Dwight,2021-22,756,0,62,102,102,118,123,117,132,0,0,0,0,0,0,0,385,50.9%,371,49.1%,4,0.5%,65,8.6%,669,88.5%,1,0.1%,10,1.3%,6,0.8%,1,0.1%,143,18.9%,206,27.2%,673,89.0%,93.0%
10X037,P.S. X037 - Multiple Intelligence School,2017-18,646,0,0,62,60,66,96,98,89,55,50,70,0,0,0,0,295,45.7%,351,54.3%,13,2.0%,139,21.5%,473,73.2%,1,0.2%,6,0.9%,12,1.9%,2,0.3%,192,29.7%,99,15.3%,559,86.5%,86.9%
10X037,P.S. X037 - Multiple Intelligence School,2018-19,630,0,0,72,69,57,73,88,96,74,56,45,0,0,0,0,303,48.1%,327,51.9%,12,1.9%,133,21.1%,465,73.8%,2,0.3%,5,0.8%,12,1.9%,1,0.2%,182,28.9%,97,15.4%,547,86.8%,86.8%
10X037,P.S. X037 - Multiple Intelligence School,2019-20,626,0,0,53,67,71,54,71,90,81,76,63,0,0,0,0,303,48.4%,323,51.6%,13,2.1%,117,18.7%,476,76.0%,2,0.3%,5,0.8%,12,1.9%,1,0.2%,170,27.2%,99,15.8%,563,89.9%,89.9%
10X037,P.S. X037 - Multiple Intelligence School,2020-21,577,0,0,48,56,64,64,58,72,74,73,68,0,0,0,0,274,47.5%,303,52.5%,10,1.7%,100,17.3%,449,77.8%,2,0.3%,3,0.5%,11,1.9%,2,0.3%,157,27.2%,97,16.8%,512,88.7%,89.4%
10X037,P.S. X037 - Multiple Intelligence School,2021-22,504,0,0,47,48,54,58,61,56,48,65,67,0,0,0,0,236,46.8%,268,53.2%,8,1.6%,89,17.7%,391,77.6%,2,0.4%,3,0.6%,9,1.8%,2,0.4%,139,27.6%,78,15.5%,439,87.1%,88.6%
10X045,Thomas C. Giordano Middle School 45,2017-18,710,0,0,0,0,0,0,0,0,227,226,257,0,0,0,0,351,49.4%,359,50.6%,14,2.0%,111,15.6%,548,77.2%,3,0.4%,3,0.4%,31,4.4%,0,0.0%,127,17.9%,143,20.1%,Above 95%,Above 95%,94.3%
10X045,Thomas C. Giordano Middle School 45,2018-19,709,0,0,0,0,0,0,0,0,258,219,232,0,0,0,0,351,49.5%,358,50.5%,6,0.8%,117,16.5%,556,78.4%,4,0.6%,2,0.3%,24,3.4%,0,0.0%,134,18.9%,136,19.2%,Above 95%,Above 95%,92.9%
10X045,Thomas C. Giordano Middle School 45,2019-20,708,0,0,0,0,0,0,0,0,228,252,228,0,0,0,0,357,50.4%,351,49.6%,7,1.0%,121,17.1%,552,78.0%,2,0.3%,4,0.6%,21,3.0%,1,0.1%,156,22.0%,128,18.1%,Above 95%,Above 95%,93.7%
10X045,Thomas C. Giordano Middle School 45,2020-21,693,0,0,0,0,0,0,0,0,212,228,253,0,0,0,0,348,50.2%,345,49.8%,9,1.3%,123,17.7%,534,77.1%,3,0.4%,3,0.4%,21,3.0%,0,0.0%,150,21.6%,128,18.5%,639,92.2%,94.8%
10X045,Thomas C. Giordano Middle School 45,2021-22,563,0,0,0,0,0,0,0,0,130,210,223,0,0,0,0,283,50.3%,280,49.7%,8,1.4%,93,16.5%,445,79.0%,2,0.4%,2,0.4%,13,2.3%,0,0.0%,125,22.2%,106,18.8%,529,94.0%,94.3%
10X046,P.S. 046 Edgar Allan Poe,2017-18,921,0,0,148,147,155,150,174,147,0,0,0,0,0,0,0,461,50.1%,460,49.9%,20,2.2%,117,12.7%,753,81.8%,2,0.2%,5,0.5%,24,2.6%,0,0.0%,230,25.0%,363,39.4%,852,92.5%,Above 95%
10X046,P.S. 046 Edgar Allan Poe,2018-19,853,0,0,133,148,142,152,146,132,0,0,0,0,0,0,0,418,49.0%,435,51.0%,13,1.5%,114,13.4%,703,82.4%,3,0.4%,5,0.6%,15,1.8%,0,0.0%,213,25.0%,340,39.9%,769,90.2%,94.3%
10X046,P.S. 046 Edgar Allan Poe,2019-20,823,0,0,129,125,146,146,131,146,0,0,0,0,0,0,0,410,49.8%,413,50.2%,15,1.8%,106,12.9%,675,82.0%,5,0.6%,5,0.6%,17,2.1%,0,0.0%,194,23.6%,315,38.3%,742,90.2%,93.9%
10X046,P.S. 046 Edgar Allan Poe,2020-21,735,0,0,100,116,113,142,141,123,0,0,0,0,0,0,0,373,50.7%,362,49.3%,10,1.4%,82,11.2%,617,83.9%,4,0.5%,6,0.8%,16,2.2%,0,0.0%,164,22.3%,278,37.8%,657,89.4%,93.5%
10X046,P.S. 046 Edgar Allan Poe,2021-22,689,15,0,103,101,105,100,126,139,0,0,0,0,0,0,0,344,49.9%,345,50.1%,9,1.3%,75,10.9%,589,85.5%,2,0.3%,3,0.4%,11,1.6%,0,0.0%,140,20.3%,262,38.0%,602,87.4%,91.7%
10X051,The Bronx STEM and Arts Academy,2017-18,217,0,18,39,36,37,37,24,26,0,0,0,0,0,0,0,98,45.2%,119,54.8%,4,1.8%,77,35.5%,129,59.4%,0,0.0%,2,0.9%,5,2.3%,0,0.0%,34,15.7%,8,3.7%,194,89.4%,83.7%
10X051,The Bronx STEM and Arts Academy,2018-19,205,0,18,29,29,36,36,32,25,0,0,0,0,0,0,0,97,47.3%,108,52.7%,4,2.0%,64,31.2%,133,64.9%,0,0.0%,1,0.5%,3,1.5%,0,0.0%,36,17.6%,8,3.9%,177,86.3%,86.3%
10X051,The Bronx STEM and Arts Academy,2019-20,206,0,36,32,24,24,31,31,28,0,0,0,0,0,0,0,97,47.1%,109,52.9%,5,2.4%,51,24.8%,144,69.9%,0,0.0%,1,0.5%,5,2.4%,0,0.0%,38,18.4%,11,5.3%,179,86.9%,87.2%
