,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 True Applicants,Grade 9 Seats Available - Notes,max_offers_and_seats
67691,16,16K688,The Brooklyn Academy of Global Finance,All Students,108,394,59,59,,108
119620,32,32K168,The Brooklyn School for Math and Research,All Students,108,712,115,75,,115
120342,32,32K549,The Brooklyn School for Social Justice,All Students,115,357,50,50,,115
54122,12,12X478,The Cinema School,All Students,81,743,125,163,,125
6328,2,02M260,The Clinton School,All Students,134,2547,207,1128,,207
32995,6,06M462,The College Academy,All Students,124,588,152,113,,152
116438,31,31R028,The Eagle Academy for Young Men of Staten Island,All Students,81,102,39,39,,81
76140,19,19K953,The East New York Arts and Civics High School,All Students,68,185,73,28,,73
23542,3,03M403,The Global Learning Collaborative,All Students,108,759,105,105,,108
10539,2,02M399,The High School For Language And Diplomacy,All Students,134,178,28,21,,134
19247,2,02M655,The High School for Climate Justice,All Students,152,340,89,42,,152
60848,14,14K478,The High School for Enterprise Business and Technology,All Students,249,1024,133,133,,249
69450,17,17K528,The High School for Global Citizenship,All Students,100,508,46,46,,100
18359,2,02M600,The High School of Fashion Industries,All Students,477,2078,359,799,,477
34750,7,07X223,The Laboratory School of Finance and Technology: X223,All Students,89,991,96,284,,96
44631,10,10X237,The Marie Curie School for Medicine Nursing and Health Professions,All Students,135,586,93,93,,135
22896,3,03M299,The Maxine Greene HS for Imaginative Inquiry,All Students,120,153,18,18,,120
54341,12,12X521,The Metropolitan Soundview High School,All Students,120,376,142,81,,142
117381,31,31R080,The Michael J. Petrides School,All Students,127,748,176,321,,176
35934,7,07X551,The Urban Assembly Bronx Academy of Letters,All Students,108,387,102,95,,108
75937,19,19K764,The Urban Assembly School for Collaborative Healthcare,All Students,81,455,96,96,,96
4909,2,02M135,The Urban Assembly School for Emergency Management,All Students,115,334,48,48,,115
29644,5,05M157,The Urban Assembly School for Global Commerce,All Students,81,262,50,40,,81
23416,3,03M402,The Urban Assembly School for Green Careers,All Students,120,696,148,119,,148
56901,13,13K483,The Urban Assembly School for Law and Justice,All Students,115,677,149,155,,149
60502,14,14K454,The Williamsburg High School of Art and Technology,All Students,116,847,107,129,,116
44428,10,10X225,Theatre Arts Production Company School,All Students,170,806,148,154,,170
105764,28,28Q620,Thomas A. Edison Career and Technical Education High School,All Students,487,5300,594,2210,,594
30693,5,05M670,Thurgood Marshall Academy for Learning and Social Change,All Students,108,366,191,98,,191
117887,31,31R455,Tottenville High School,All Students,1188,2503,1429,1703,,1429
95217,25,25Q525,Townsend Harris High School,All Students,290,8022,400,5863,,400
74998,19,19K615,Transit Tech Career and Technical Education High School,All Students,315,1113,259,241,,315
16619,2,02M533,Union Square Academy for Health Sciences,All Students,109,617,113,124,,113
15557,2,02M500,Unity Center for Urban Technologies,All Students,95,230,84,27,,95
35383,7,07X495,University Heights Secondary School,All Students,140,2617,195,961,,195
1308,1,01M448,University Neighborhood High School,All Students,105,1625,150,314,,150
73065,18,18K642,Urban Action Academy,All Students,107,151,25,25,,107
8550,2,02M305,Urban Assembly Academy of Government and Law The,All Students,100,424,85,50,,100
15666,2,02M507,Urban Assembly Gateway School for Technology,All Students,108,1362,136,289,,136
57149,13,13K527,Urban Assembly Institute of Math and Science for Young Women,All Students,81,259,75,75,,81
7034,2,02M282,Urban Assembly Maker Academy,All Students,125,1032,160,160,,160
17848,2,02M551,Urban Assembly New York Harbor School,All Students,151,785,209,241,,209
40371,9,09X241,Urban Assembly School for Applied Math and Science The,All Students,73,554,78,140,,78
78416,20,20K609,Urban Assembly School for Leadership and Empowerment,All Students,100,280,124,69,,124
22961,3,03M307,Urban Assembly School for Media Studies The,All Students,126,327,100,63,,126
30314,5,05M369,Urban Assembly School for the Performing Arts,All Students,108,408,54,54,,108
9112,2,02M316,Urban Assembly School of Business for Young Women the,All Students,120,107,11,11,,120
8319,2,02M300,Urban Assembly School of Design and Construction The,All Students,108,385,48,48,,108
56025,13,13K350,Urban Assembly School of Music and Art,All Students,108,259,32,32,,108
40753,9,09X263,Validus Preparatory Academy,All Students,90,244,34,34,,90
14696,2,02M449,Vanguard High School,All Students,110,481,125,99,,125
93935,25,25Q240,Veritas Academy,All Students,130,401,65,65,,130
72437,18,18K576,Victory Collegiate High School,All Students,140,231,36,36,,140
75557,19,19K660,W. H. Maxwell Career and Technical Education High School,All Students,305,813,111,124,,305
23660,3,03M415,Wadleigh Secondary School for the Performing & Visual Arts,All Students,128,956,170,234,,170
32795,6,06M348,Washington Heights Expeditionary Learning School,All Students,115,745,133,234,,133
44753,10,10X243,West Bronx Academy for the Future,All Students,90,1128,109,248,,109
22713,3,03M291,West End Secondary School,All Students,90,1138,127,480,,127
38667,8,08X558,Westchester Square Academy,All Students,135,808,115,97,,135
113623,30,30Q445,William Cullen Bryant High School,All Students,488,1602,442,346,,488
82325,21,21K620,William E. Grady Career and Technical Education High School,All Students,303,822,207,207,,303
61160,14,14K558,Williamsburg High School for Architecture and Design,All Students,155,1362,203,306,,203
61339,14,14K561,Williamsburg Preparatory School,All Students,180,1200,259,281,,259
54600,12,12X684,Wings Academy,All Students,150,414,62,45,,150
37299,8,08X282,Women's Academy of Excellence,All Students,108,147,25,25,,108
74825,19,19K510,World Academy for Total Community Health High School,All Students,68,242,28,28,,68
94585,25,25Q285,World Journalism Preparatory: A College Board School,All Students,81,492,116,218,,116
45612,10,10X353,World View High School,All Students,150,1339,188,305,,188
104556,28,28Q284,York Early College Academy,All Students,81,1492,93,558,,93
28591,4,04M610,Young Women's Leadership School,All Students,81,492,118,161,,118
112741,30,30Q286,Young Women's Leadership School Astoria,All Students,81,509,99,199,,99
106659,28,28Q896,Young Women's Leadership School Queens,All Students,81,366,106,106,,106
61855,14,14K614,Young Women's Leadership School of Brooklyn,All Students,93,232,54,41,,93
42460,9,09X568,Young Women's Leadership School of the Bronx,All Students,81,507,116,106,,116
