,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 True Applicants,Grade 9 Seats Available - Notes
18841,2,02M615,Chelsea Career and Technical Education High School,Residential District 21,.,s,s,s,
18842,2,02M615,Chelsea Career and Technical Education High School,Residential District 22,.,11,s,s,
18843,2,02M615,Chelsea Career and Technical Education High School,Residential District 23,.,12,s,s,
18844,2,02M615,Chelsea Career and Technical Education High School,Residential District 24,.,34,s^,7,
18845,2,02M615,Chelsea Career and Technical Education High School,Residential District 25,.,s,s,s,
18846,2,02M615,Chelsea Career and Technical Education High School,Residential District 26,.,s,s,s,
18847,2,02M615,Chelsea Career and Technical Education High School,Residential District 27,.,19,s,s,
18848,2,02M615,Chelsea Career and Technical Education High School,Residential District 28,.,9,s,s,
18849,2,02M615,Chelsea Career and Technical Education High School,Residential District 29,.,s,s,s,
18850,2,02M615,Chelsea Career and Technical Education High School,Residential District 30,.,28,s,s,
18851,2,02M615,Chelsea Career and Technical Education High School,Residential District 31,.,7,s,s,
18852,2,02M615,Chelsea Career and Technical Education High School,Residential District 32,.,12,s,s,
18853,2,02M615,Chelsea Career and Technical Education High School,Residential District Unknown,.,s,s,s,
32363,6,06M293,City College Academy of the Arts,Residential District 01,.,s,s,s,
32364,6,06M293,City College Academy of the Arts,Residential District 02,.,11,s,s,
32365,6,06M293,City College Academy of the Arts,Residential District 03,.,14,s,s,
32366,6,06M293,City College Academy of the Arts,Residential District 04,.,23,s,6,
32367,6,06M293,City College Academy of the Arts,Residential District 05,.,100,s,31,
32368,6,06M293,City College Academy of the Arts,Residential District 06,.,627,74,318,
32369,6,06M293,City College Academy of the Arts,Residential District 07,.,25,s,10,
32370,6,06M293,City College Academy of the Arts,Residential District 08,.,38,s,12,
32371,6,06M293,City College Academy of the Arts,Residential District 09,.,119,s,33,
32372,6,06M293,City College Academy of the Arts,Residential District 10,.,216,7,68,
32373,6,06M293,City College Academy of the Arts,Residential District 11,.,53,s,13,
32374,6,06M293,City College Academy of the Arts,Residential District 12,.,21,s,s,
32375,6,06M293,City College Academy of the Arts,Residential District 13,.,s,s,s,
32376,6,06M293,City College Academy of the Arts,Residential District 15,.,s,s,s,
32377,6,06M293,City College Academy of the Arts,Residential District 16,.,s,s,s,
32378,6,06M293,City College Academy of the Arts,Residential District 17,.,7,s,s,
32379,6,06M293,City College Academy of the Arts,Residential District 18,.,s,s,s,
32380,6,06M293,City College Academy of the Arts,Residential District 19,.,s,s,s,
32381,6,06M293,City College Academy of the Arts,Residential District 20,.,s,s,s,
32382,6,06M293,City College Academy of the Arts,Residential District 22,.,s,s,s,
32383,6,06M293,City College Academy of the Arts,Residential District 23,.,s,s,s,
32384,6,06M293,City College Academy of the Arts,Residential District 24,.,s,s,s,
32385,6,06M293,City College Academy of the Arts,Residential District 25,.,s,s,s,
32386,6,06M293,City College Academy of the Arts,Residential District 27,.,s,s,s,
32387,6,06M293,City College Academy of the Arts,Residential District 28,.,s,s,s,
32388,6,06M293,City College Academy of the Arts,Residential District 29,.,s,s,s,
32389,6,06M293,City College Academy of the Arts,Residential District 30,.,s,s,s,
32390,6,06M293,City College Academy of the Arts,Residential District 32,.,s,s,s,
32391,6,06M293,City College Academy of the Arts,Residential District Unknown,.,s,s,s,
58107,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 01,.,8,s,s,
58108,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 02,.,18,s,s,
58109,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 03,.,s,s,s,
58110,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 04,.,9,s,s,
58111,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 05,.,s,s,s,
58112,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 06,.,s,s,s,
58113,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 07,.,s,s,s,
58114,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 08,.,s,s,s,
58115,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 09,.,s,s,s,
58116,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 10,.,s,s,s,
58117,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 11,.,8,s,s,
58118,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 12,.,s,s,s,
58119,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 13,.,112,12,25,
58120,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 14,.,34,s,6,
58121,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 15,.,124,20,35,
58122,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 16,.,65,9,15,
58123,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 17,.,175,25,46,
58124,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 18,.,85,16,26,
58125,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 19,.,153,16,29,
58126,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 20,.,51,s^,14,
58127,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 21,.,34,s,10,
58128,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 22,.,124,17,43,
58129,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 23,.,75,s^,11,
58130,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 24,.,23,s,s,
58131,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 25,.,s,s,s,
58132,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 27,.,37,s,7,
58133,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 28,.,6,s,s,
58134,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 29,.,8,s,s,
58135,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 30,.,17,s,s,
58136,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 31,.,17,s,s,
58137,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District 32,.,44,s,s,
58138,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,Residential District Unknown,.,8,s,s,
89580,24,24Q293,Civic Leadership Academy,Residential District 02,.,s,s,s,
89581,24,24Q293,Civic Leadership Academy,Residential District 04,.,s,s,s,
89582,24,24Q293,Civic Leadership Academy,Residential District 07,.,s,s,s,
89583,24,24Q293,Civic Leadership Academy,Residential District 08,.,s,s,s,
89584,24,24Q293,Civic Leadership Academy,Residential District 10,.,s,s,s,
89585,24,24Q293,Civic Leadership Academy,Residential District 11,.,s,s,s,
89586,24,24Q293,Civic Leadership Academy,Residential District 14,.,s,s,s,
89587,24,24Q293,Civic Leadership Academy,Residential District 19,.,s,s,s,
89588,24,24Q293,Civic Leadership Academy,Residential District 22,.,s,s,s,
89589,24,24Q293,Civic Leadership Academy,Residential District 23,.,s,s,s,
89590,24,24Q293,Civic Leadership Academy,Residential District 24,.,755,119,222,
89591,24,24Q293,Civic Leadership Academy,Residential District 25,.,32,s,s,
89592,24,24Q293,Civic Leadership Academy,Residential District 26,.,s,s,s,
89593,24,24Q293,Civic Leadership Academy,Residential District 27,.,18,s^,7,
89594,24,24Q293,Civic Leadership Academy,Residential District 28,.,31,s^,10,
89595,24,24Q293,Civic Leadership Academy,Residential District 29,.,8,s,s,
89596,24,24Q293,Civic Leadership Academy,Residential District 30,.,287,42,67,
89597,24,24Q293,Civic Leadership Academy,Residential District 32,.,s,s,s,
89598,24,24Q293,Civic Leadership Academy,Residential District Unknown,.,8,s,s,
70543,17,17K600,Clara Barton High School,Residential District 02,.,s,s,s,
70544,17,17K600,Clara Barton High School,Residential District 03,.,s,s,s,
70545,17,17K600,Clara Barton High School,Residential District 05,.,s,s,s,
70546,17,17K600,Clara Barton High School,Residential District 07,.,s,s,s,
70547,17,17K600,Clara Barton High School,Residential District 08,.,s,s,s,
70548,17,17K600,Clara Barton High School,Residential District 09,.,s,s,s,
70549,17,17K600,Clara Barton High School,Residential District 10,.,s,s,s,
70550,17,17K600,Clara Barton High School,Residential District 11,.,s,s,s,
70551,17,17K600,Clara Barton High School,Residential District 12,.,s,s,s,
70552,17,17K600,Clara Barton High School,Residential District 13,.,47,s^,13,
70553,17,17K600,Clara Barton High School,Residential District 14,.,11,s,s,
70554,17,17K600,Clara Barton High School,Residential District 15,.,36,s^,7,
70555,17,17K600,Clara Barton High School,Residential District 16,.,59,s^,10,
70556,17,17K600,Clara Barton High School,Residential District 17,.,201,s^,59,
70557,17,17K600,Clara Barton High School,Residential District 18,.,179,s^,45,
70558,17,17K600,Clara Barton High School,Residential District 19,.,123,s^,29,
70559,17,17K600,Clara Barton High School,Residential District 20,.,18,s,s,
70560,17,17K600,Clara Barton High School,Residential District 21,.,11,s,s,
70561,17,17K600,Clara Barton High School,Residential District 22,.,161,s^,42,
70562,17,17K600,Clara Barton High School,Residential District 23,.,73,s^,23,
70563,17,17K600,Clara Barton High School,Residential District 24,.,12,s,s,
70564,17,17K600,Clara Barton High School,Residential District 25,.,s,s,s,
70565,17,17K600,Clara Barton High School,Residential District 27,.,14,s,s,
70566,17,17K600,Clara Barton High School,Residential District 28,.,s,s,s,
70567,17,17K600,Clara Barton High School,Residential District 29,.,11,s,s,
70568,17,17K600,Clara Barton High School,Residential District 30,.,s,s,s,
70569,17,17K600,Clara Barton High School,Residential District 31,.,7,s,s,
70570,17,17K600,Clara Barton High School,Residential District 32,.,14,s,s,
70571,17,17K600,Clara Barton High School,Residential District Unknown,.,s,s,s,
42409,9,09X564,Claremont International HS,Residential District 03,.,s,s,s,
42410,9,09X564,Claremont International HS,Residential District 04,.,s,s,s,
42411,9,09X564,Claremont International HS,Residential District 05,.,s,s,s,
42412,9,09X564,Claremont International HS,Residential District 06,.,s,s,s,
42413,9,09X564,Claremont International HS,Residential District 07,.,24,s,s,
42414,9,09X564,Claremont International HS,Residential District 08,.,11,s,s,
42415,9,09X564,Claremont International HS,Residential District 09,.,171,15,28,
42416,9,09X564,Claremont International HS,Residential District 10,.,84,s,8,
42417,9,09X564,Claremont International HS,Residential District 11,.,16,s,s,
42418,9,09X564,Claremont International HS,Residential District 12,.,25,s,s,
42419,9,09X564,Claremont International HS,Residential District 19,.,s,s,s,
42420,9,09X564,Claremont International HS,Residential District 20,.,s,s,s,
42421,9,09X564,Claremont International HS,Residential District 23,.,s,s,s,
42422,9,09X564,Claremont International HS,Residential District 24,.,s,s,s,
42423,9,09X564,Claremont International HS,Residential District 27,.,s,s,s,
42424,9,09X564,Claremont International HS,Residential District 29,.,s,s,s,
42425,9,09X564,Claremont International HS,Residential District Unknown,.,s,s,s,
64891,15,15K519,Cobble Hill School of American Studies,Residential District 01,.,s,s,s,
64892,15,15K519,Cobble Hill School of American Studies,Residential District 02,.,s,s,s,
64893,15,15K519,Cobble Hill School of American Studies,Residential District 03,.,s,s,s,
64894,15,15K519,Cobble Hill School of American Studies,Residential District 04,.,s,s,s,
64895,15,15K519,Cobble Hill School of American Studies,Residential District 05,.,s,s,s,
64896,15,15K519,Cobble Hill School of American Studies,Residential District 07,.,s,s,s,
64897,15,15K519,Cobble Hill School of American Studies,Residential District 08,.,s,s,s,
64898,15,15K519,Cobble Hill School of American Studies,Residential District 10,.,s,s,s,
64899,15,15K519,Cobble Hill School of American Studies,Residential District 11,.,s,s,s,
64900,15,15K519,Cobble Hill School of American Studies,Residential District 13,.,46,s^,7,
64901,15,15K519,Cobble Hill School of American Studies,Residential District 14,.,18,s,s,
64902,15,15K519,Cobble Hill School of American Studies,Residential District 15,.,80,17,7,
64903,15,15K519,Cobble Hill School of American Studies,Residential District 16,.,20,s,s,
64904,15,15K519,Cobble Hill School of American Studies,Residential District 17,.,60,s^,11,
64905,15,15K519,Cobble Hill School of American Studies,Residential District 18,.,14,s,s,
64906,15,15K519,Cobble Hill School of American Studies,Residential District 19,.,46,s,s,
64907,15,15K519,Cobble Hill School of American Studies,Residential District 20,.,18,s,s,
64908,15,15K519,Cobble Hill School of American Studies,Residential District 21,.,7,s,s,
64909,15,15K519,Cobble Hill School of American Studies,Residential District 22,.,28,s^,8,
64910,15,15K519,Cobble Hill School of American Studies,Residential District 23,.,24,s,s,
64911,15,15K519,Cobble Hill School of American Studies,Residential District 24,.,s,s,s,
64912,15,15K519,Cobble Hill School of American Studies,Residential District 27,.,10,s,s,
64913,15,15K519,Cobble Hill School of American Studies,Residential District 28,.,s,s,s,
64914,15,15K519,Cobble Hill School of American Studies,Residential District 29,.,s,s,s,
64915,15,15K519,Cobble Hill School of American Studies,Residential District 30,.,s,s,s,
64916,15,15K519,Cobble Hill School of American Studies,Residential District 31,.,6,s,s,
64917,15,15K519,Cobble Hill School of American Studies,Residential District 32,.,8,s,s,
64918,15,15K519,Cobble Hill School of American Studies,Residential District Unknown,.,s,s,s,
50476,11,11X288,Collegiate Institute for Math and Science,Residential District 01,.,s,s,s,
50477,11,11X288,Collegiate Institute for Math and Science,Residential District 02,.,s,s,s,
50478,11,11X288,Collegiate Institute for Math and Science,Residential District 03,.,s,s,s,
50479,11,11X288,Collegiate Institute for Math and Science,Residential District 04,.,s,s,s,
50480,11,11X288,Collegiate Institute for Math and Science,Residential District 05,.,6,s,s,
50481,11,11X288,Collegiate Institute for Math and Science,Residential District 06,.,7,s,s,
50482,11,11X288,Collegiate Institute for Math and Science,Residential District 07,.,44,s,6,
50483,11,11X288,Collegiate Institute for Math and Science,Residential District 08,.,218,22,46,
50484,11,11X288,Collegiate Institute for Math and Science,Residential District 09,.,143,s^,16,
50485,11,11X288,Collegiate Institute for Math and Science,Residential District 10,.,305,31,48,
50486,11,11X288,Collegiate Institute for Math and Science,Residential District 11,.,818,92,173,
50487,11,11X288,Collegiate Institute for Math and Science,Residential District 12,.,129,8,16,
50488,11,11X288,Collegiate Institute for Math and Science,Residential District 13,.,s,s,s,
50489,11,11X288,Collegiate Institute for Math and Science,Residential District 15,.,s,s,s,
50490,11,11X288,Collegiate Institute for Math and Science,Residential District 17,.,s,s,s,
50491,11,11X288,Collegiate Institute for Math and Science,Residential District 18,.,s,s,s,
50492,11,11X288,Collegiate Institute for Math and Science,Residential District 20,.,s,s,s,
50493,11,11X288,Collegiate Institute for Math and Science,Residential District 23,.,s,s,s,
50494,11,11X288,Collegiate Institute for Math and Science,Residential District 24,.,s,s,s,
50495,11,11X288,Collegiate Institute for Math and Science,Residential District 25,.,s,s,s,
50496,11,11X288,Collegiate Institute for Math and Science,Residential District 26,.,s,s,s,
50497,11,11X288,Collegiate Institute for Math and Science,Residential District 27,.,s,s,s,
50498,11,11X288,Collegiate Institute for Math and Science,Residential District 28,.,s,s,s,
50499,11,11X288,Collegiate Institute for Math and Science,Residential District 30,.,s,s,s,
30112,5,05M362,Columbia Secondary School,Residential District 01,.,33,s,10,
30113,5,05M362,Columbia Secondary School,Residential District 02,.,365,6,180,
30114,5,05M362,Columbia Secondary School,Residential District 03,.,497,39,245,
30115,5,05M362,Columbia Secondary School,Residential District 04,.,228,7,99,
30116,5,05M362,Columbia Secondary School,Residential District 05,.,353,29,174,
30117,5,05M362,Columbia Secondary School,Residential District 06,.,471,38,234,
30118,5,05M362,Columbia Secondary School,Residential District 07,.,94,6,31,
30119,5,05M362,Columbia Secondary School,Residential District 08,.,169,s,66,
30120,5,05M362,Columbia Secondary School,Residential District 09,.,229,s,84,
30121,5,05M362,Columbia Secondary School,Residential District 10,.,295,8,122,
30122,5,05M362,Columbia Secondary School,Residential District 11,.,277,11,106,
30123,5,05M362,Columbia Secondary School,Residential District 12,.,105,s,41,
30124,5,05M362,Columbia Secondary School,Residential District 13,.,25,s,9,
30125,5,05M362,Columbia Secondary School,Residential District 14,.,17,s,s,
30126,5,05M362,Columbia Secondary School,Residential District 15,.,38,s,15,
30127,5,05M362,Columbia Secondary School,Residential District 16,.,10,s,s,
30128,5,05M362,Columbia Secondary School,Residential District 17,.,27,s,10,
30129,5,05M362,Columbia Secondary School,Residential District 18,.,20,s,s,
30130,5,05M362,Columbia Secondary School,Residential District 19,.,31,s,13,
30131,5,05M362,Columbia Secondary School,Residential District 20,.,30,s,13,
30132,5,05M362,Columbia Secondary School,Residential District 21,.,17,s,8,
30133,5,05M362,Columbia Secondary School,Residential District 22,.,15,s,10,
30134,5,05M362,Columbia Secondary School,Residential District 23,.,8,s,s,
30135,5,05M362,Columbia Secondary School,Residential District 24,.,119,s,47,
30136,5,05M362,Columbia Secondary School,Residential District 25,.,44,s,21,
30137,5,05M362,Columbia Secondary School,Residential District 26,.,25,s,9,
30138,5,05M362,Columbia Secondary School,Residential District 27,.,51,s,19,
30139,5,05M362,Columbia Secondary School,Residential District 28,.,54,s,27,
30140,5,05M362,Columbia Secondary School,Residential District 29,.,20,s,7,
30141,5,05M362,Columbia Secondary School,Residential District 30,.,197,s,78,
30142,5,05M362,Columbia Secondary School,Residential District 31,.,8,s,s,
30143,5,05M362,Columbia Secondary School,Residential District 32,.,20,s,10,
30144,5,05M362,Columbia Secondary School,Residential District Unknown,.,35,s,22,
32723,6,06M346,Community Health Academy of the Heights,Residential District 01,.,s,s,s,
32724,6,06M346,Community Health Academy of the Heights,Residential District 02,.,s,s,s,
32725,6,06M346,Community Health Academy of the Heights,Residential District 03,.,11,s,s,
32726,6,06M346,Community Health Academy of the Heights,Residential District 04,.,11,s,s,
32727,6,06M346,Community Health Academy of the Heights,Residential District 05,.,60,s,14,
32728,6,06M346,Community Health Academy of the Heights,Residential District 06,.,362,68,121,
32729,6,06M346,Community Health Academy of the Heights,Residential District 07,.,16,s,s,
32730,6,06M346,Community Health Academy of the Heights,Residential District 08,.,21,s,s,
32731,6,06M346,Community Health Academy of the Heights,Residential District 09,.,67,s^,11,
32732,6,06M346,Community Health Academy of the Heights,Residential District 10,.,67,s,12,
32733,6,06M346,Community Health Academy of the Heights,Residential District 11,.,11,s,s,
32734,6,06M346,Community Health Academy of the Heights,Residential District 12,.,9,s,s,
32735,6,06M346,Community Health Academy of the Heights,Residential District 13,.,s,s,s,
32736,6,06M346,Community Health Academy of the Heights,Residential District 15,.,s,s,s,
32737,6,06M346,Community Health Academy of the Heights,Residential District 16,.,s,s,s,
32738,6,06M346,Community Health Academy of the Heights,Residential District 18,.,s,s,s,
32739,6,06M346,Community Health Academy of the Heights,Residential District 19,.,s,s,s,
32740,6,06M346,Community Health Academy of the Heights,Residential District 23,.,s,s,s,
32741,6,06M346,Community Health Academy of the Heights,Residential District 24,.,s,s,s,
32742,6,06M346,Community Health Academy of the Heights,Residential District 29,.,s,s,s,
32743,6,06M346,Community Health Academy of the Heights,Residential District 30,.,s,s,s,
32744,6,06M346,Community Health Academy of the Heights,Residential District Unknown,.,s,s,s,
35294,7,07X427,Community School for Social Justice,Residential District 02,.,s,s,s,
35295,7,07X427,Community School for Social Justice,Residential District 03,.,s,s,s,
35296,7,07X427,Community School for Social Justice,Residential District 04,.,s,s,s,
35297,7,07X427,Community School for Social Justice,Residential District 05,.,8,s,s,
35298,7,07X427,Community School for Social Justice,Residential District 06,.,7,s,s,
35299,7,07X427,Community School for Social Justice,Residential District 07,.,42,s,s,
35300,7,07X427,Community School for Social Justice,Residential District 08,.,19,s^,7,
35301,7,07X427,Community School for Social Justice,Residential District 09,.,21,s,s,
35302,7,07X427,Community School for Social Justice,Residential District 10,.,17,s,s,
35303,7,07X427,Community School for Social Justice,Residential District 11,.,16,s,s,
35304,7,07X427,Community School for Social Justice,Residential District 12,.,16,s,s,
35305,7,07X427,Community School for Social Justice,Residential District 18,.,s,s,s,
41132,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 02,.,s,s,s,
41133,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 04,.,s,s,s,
41134,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 05,.,s,s,s,
41135,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 06,.,9,s,s,
41136,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 07,.,32,s,s,
41137,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 08,.,40,s,s,
41138,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 09,.,470,90,185,
41139,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 10,.,138,8,39,
41140,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 11,.,31,s,7,
41141,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 12,.,28,s,s,
41142,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 15,.,s,s,s,
41143,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 16,.,s,s,s,
41144,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 17,.,s,s,s,
41145,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 23,.,s,s,s,
41146,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 28,.,s,s,s,
41147,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 29,.,s,s,s,
41148,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 30,.,s,s,s,
41149,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 31,.,s,s,s,
41150,9,09X327,Comprehensive Model School Project M.S. 327,Residential District 32,.,s,s,s,
47312,10,10X524,Crotona International High School,Residential District 04,.,s,s,s,
47313,10,10X524,Crotona International High School,Residential District 07,.,18,s,s,
47314,10,10X524,Crotona International High School,Residential District 08,.,25,s,s,
47315,10,10X524,Crotona International High School,Residential District 09,.,71,s,7,
47316,10,10X524,Crotona International High School,Residential District 10,.,145,12,30,
47317,10,10X524,Crotona International High School,Residential District 11,.,41,s,s,
47318,10,10X524,Crotona International High School,Residential District 12,.,63,s,9,
47319,10,10X524,Crotona International High School,Residential District 16,.,s,s,s,
47320,10,10X524,Crotona International High School,Residential District 18,.,s,s,s,
47321,10,10X524,Crotona International High School,Residential District 19,.,s,s,s,
47322,10,10X524,Crotona International High School,Residential District 23,.,s,s,s,
47323,10,10X524,Crotona International High School,Residential District 24,.,s,s,s,
47324,10,10X524,Crotona International High School,Residential District 27,.,s,s,s,
47325,10,10X524,Crotona International High School,Residential District Unknown,.,s,s,s,
72655,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 01,.,s,s,s,
72656,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 02,.,s,s,s,
72657,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 05,.,s,s,s,
72658,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 06,.,s,s,s,
72659,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 07,.,s,s,s,
72660,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 08,.,s,s,s,
72661,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 09,.,s,s,s,
72662,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 10,.,s,s,s,
72663,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 11,.,s,s,s,
72664,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 12,.,s,s,s,
72665,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 13,.,14,s,s,
72666,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 14,.,s,s,s,
72667,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 15,.,8,s,s,
72668,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 16,.,14,s,s,
72669,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 17,.,51,s,s,
72670,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 18,.,113,57,25,
72671,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 19,.,75,s^,12,
72672,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 20,.,s,s,s,
72673,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 21,.,s,s,s,
72674,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 22,.,57,s^,s,
72675,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 23,.,56,s^,9,
72676,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 24,.,8,s,s,
72677,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 25,.,s,s,s,
72678,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 27,.,14,s,s,
72679,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 28,.,9,s,s,
72680,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 29,.,s,s,s,
72681,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 30,.,s,s,s,
72682,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 31,.,s,s,s,
72683,18,18K629,Cultural Academy for the Arts and Sciences,Residential District 32,.,7,s,s,
72684,18,18K629,Cultural Academy for the Arts and Sciences,Residential District Unknown,.,s,s,s,
117790,31,31R450,Curtis High School,Residential District 02,.,s,s,s,
117791,31,31R450,Curtis High School,Residential District 03,.,s,s,s,
117792,31,31R450,Curtis High School,Residential District 04,.,s,s,s,
117793,31,31R450,Curtis High School,Residential District 05,.,s,s,s,
117794,31,31R450,Curtis High School,Residential District 07,.,s,s,s,
117795,31,31R450,Curtis High School,Residential District 08,.,s,s,s,
117796,31,31R450,Curtis High School,Residential District 09,.,s,s,s,
117797,31,31R450,Curtis High School,Residential District 10,.,s,s,s,
117798,31,31R450,Curtis High School,Residential District 11,.,s,s,s,
117799,31,31R450,Curtis High School,Residential District 12,.,s,s,s,
117800,31,31R450,Curtis High School,Residential District 13,.,s,s,s,
117801,31,31R450,Curtis High School,Residential District 14,.,s,s,s,
117802,31,31R450,Curtis High School,Residential District 15,.,s,s,s,
117803,31,31R450,Curtis High School,Residential District 16,.,9,s,s,
117804,31,31R450,Curtis High School,Residential District 17,.,s,s,s,
117805,31,31R450,Curtis High School,Residential District 19,.,11,s,s,
117806,31,31R450,Curtis High School,Residential District 20,.,29,s,s,
117807,31,31R450,Curtis High School,Residential District 21,.,11,s,s,
117808,31,31R450,Curtis High School,Residential District 22,.,9,s,s,
117809,31,31R450,Curtis High School,Residential District 23,.,9,s,s,
117810,31,31R450,Curtis High School,Residential District 24,.,s,s,s,
117811,31,31R450,Curtis High School,Residential District 25,.,s,s,s,
117812,31,31R450,Curtis High School,Residential District 26,.,s,s,s,
117813,31,31R450,Curtis High School,Residential District 27,.,9,s,s,
117814,31,31R450,Curtis High School,Residential District 28,.,s,s,s,
117815,31,31R450,Curtis High School,Residential District 29,.,s,s,s,
117816,31,31R450,Curtis High School,Residential District 30,.,s,s,s,
117817,31,31R450,Curtis High School,Residential District 31,.,1361,s^,679,
117818,31,31R450,Curtis High School,Residential District Unknown,.,10,s,s,
64511,15,15K463,Cyberarts Studio Academy,Residential District 08,.,s,s,s,
64512,15,15K463,Cyberarts Studio Academy,Residential District 13,.,19,s,s,
64513,15,15K463,Cyberarts Studio Academy,Residential District 14,.,s,s,s,
64514,15,15K463,Cyberarts Studio Academy,Residential District 15,.,74,s^,9,
64515,15,15K463,Cyberarts Studio Academy,Residential District 16,.,s,s,s,
64516,15,15K463,Cyberarts Studio Academy,Residential District 17,.,17,s,s,
64517,15,15K463,Cyberarts Studio Academy,Residential District 18,.,6,s,s,
64518,15,15K463,Cyberarts Studio Academy,Residential District 19,.,s,s,s,
64519,15,15K463,Cyberarts Studio Academy,Residential District 20,.,18,s,s,
64520,15,15K463,Cyberarts Studio Academy,Residential District 21,.,s,s,s,
64521,15,15K463,Cyberarts Studio Academy,Residential District 22,.,17,s,s,
64522,15,15K463,Cyberarts Studio Academy,Residential District 23,.,s,s,s,
64523,15,15K463,Cyberarts Studio Academy,Residential District 28,.,s,s,s,
64524,15,15K463,Cyberarts Studio Academy,Residential District 31,.,s,s,s,
