,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes,max_offers_and_seats
120753,32,32K552,The Academy of Urban Planning and Engineering,All Students,113,639,165,,165
66710,15,15K497,The Boerum Hill School for International Studies,All Students,100,655,131, Guaranteed offer to continuing 8th grade students who apply,131
53256,11,11X514,The Bronxwood Preparatory Academy,All Students,108,390,111,,111
69493,16,16K688,The Brooklyn Academy of Global Finance,All Students,108,349,48,,108
119924,32,32K168,The Brooklyn School for Math and Research,All Students,108,1078,224,,224
120678,32,32K549,The Brooklyn School for Social Justice,All Students,115,393,54,,115
56000,12,12X478,The Cinema School,All Students,81,1075,117,,117
6708,2,02M260,The Clinton School,All Students,114,2830,163, Guaranteed offer to continuing 8th grade students who apply,163
33922,6,06M462,The College Academy,All Students,116,434,148,,148
116836,31,31R028,The Eagle Academy for Young Men of Staten Island,All Students,81,109,48, Guaranteed offer to continuing 8th grade students who apply,81
24000,3,03M403,The Global Learning Collaborative,All Students,108,1084,154,,154
11248,2,02M399,The High School For Language And Diplomacy,All Students,134,206,44,,134
62662,14,14K478,The High School for Enterprise Business and Technology,All Students,249,1136,180,,249
71266,17,17K528,The High School for Global Citizenship,All Students,100,755,85,,100
18987,2,02M600,The High School of Fashion Industries,All Students,474,1957,586,,586
35833,7,07X223,The Laboratory School of Finance and Technology: X223,All Students,88,1655,100, Guaranteed offer to continuing 8th grade students who apply,100
46115,10,10X237,The Marie Curie School for Medicine Nursing and Health Professions,All Students,135,543,132,,135
23336,3,03M299,The Maxine Greene HS for Imaginative Inquiry,All Students,120,135,26,,120
56221,12,12X521,The Metropolitan Soundview High School,All Students,120,391,149,,149
117775,31,31R080,The Michael J. Petrides School,All Students,130,621,202, Guaranteed offer to continuing 8th grade students who apply,202
37088,7,07X551,The Urban Assembly Bronx Academy of Letters,All Students,81,716,130, Guaranteed offer to continuing 8th grade students who apply,130
77851,19,19K764,The Urban Assembly School for Collaborative Healthcare,All Students,81,460,86,,86
5081,2,02M135,The Urban Assembly School for Emergency Management,All Students,108,417,83,,108
30071,5,05M157,The Urban Assembly School for Global Commerce,All Students,81,206,34,,81
23887,3,03M402,The Urban Assembly School for Green Careers,All Students,108,527,95,,108
58841,13,13K483,The Urban Assembly School for Law and Justice,All Students,115,1110,155,,155
62277,14,14K454,The Williamsburg High School of Art and Technology,All Students,116,1093,175,,175
45930,10,10X225,Theatre Arts Production Company School,All Students,170,610,85, Guaranteed offer to continuing 8th grade students who apply,170
106915,28,28Q620,Thomas A. Edison Career and Technical Education High School,All Students,477,5171,616,,616
31235,5,05M670,Thurgood Marshall Academy for Learning and Social Change,All Students,108,589,159, Guaranteed offer to continuing 8th grade students who apply,159
118237,31,31R455,Tottenville High School,All Students,598,2296,1371, Guaranteed offer to students who live in the zoned area,1371
96653,25,25Q525,Townsend Harris High School,All Students,290,8123,577,,577
76840,19,19K615,Transit Tech Career and Technical Education High School,All Students,510,1322,356,,510
17377,2,02M533,Union Square Academy for Health Sciences,All Students,109,954,134,,134
16255,2,02M500,Unity Center for Urban Technologies,All Students,95,509,156,,156
36528,7,07X495,University Heights Secondary School,All Students,130,3206,184,,184
1530,1,01M448,University Neighborhood High School,All Students,105,1511,181,,181
75037,18,18K642,Urban Action Academy,All Students,106,144,20,,106
9230,2,02M305,Urban Assembly Academy of Government and Law The,All Students,100,722,121,,121
16406,2,02M507,Urban Assembly Gateway School for Technology,All Students,108,2026,133,,133
59217,13,13K527,Urban Assembly Institute of Math and Science for Young Women,All Students,81,360,110, Guaranteed offer to continuing 8th grade students who apply,110
7526,2,02M282,Urban Assembly Maker Academy,All Students,125,1161,173,,173
18632,2,02M551,Urban Assembly New York Harbor School,All Students,140,844,191,,191
41680,9,09X241,Urban Assembly School for Applied Math and Science The,All Students,73,1148,97, Guaranteed offer to continuing 8th grade students who apply,97
80425,20,20K609,Urban Assembly School for Criminal Justice,All Students,81,532,123, Guaranteed offer to continuing 8th grade students who apply,123
23413,3,03M307,Urban Assembly School for Media Studies The,All Students,120,368,75,,120
30791,5,05M369,Urban Assembly School for the Performing Arts,All Students,108,563,147,,147
9787,2,02M316,Urban Assembly School of Business for Young Women the,All Students,120,157,31,,120
8941,2,02M300,Urban Assembly School of Design and Construction The,All Students,108,411,68,,108
57942,13,13K350,Urban Assembly School of Music and Art,All Students,108,425,53,,108
42122,9,09X263,Validus Preparatory Academy,All Students,81,431,77,,81
15345,2,02M449,Vanguard High School,All Students,110,1137,175,,175
95201,25,25Q240,Veritas Academy,All Students,130,753,167,,167
74383,18,18K576,Victory Collegiate High School,All Students,140,307,54,,140
77435,19,19K660,W. H. Maxwell Career and Technical Education High School,All Students,305,764,135,,305
24127,3,03M415,Wadleigh Secondary School for the Performing & Visual Arts,All Students,148,648,152, Guaranteed offer to continuing 8th grade students who apply,152
33676,6,06M348,Washington Heights Expeditionary Learning School,All Students,110,596,141, Guaranteed offer to continuing 8th grade students who apply,141
46223,10,10X243,West Bronx Academy for the Future,All Students,90,1185,128, Guaranteed offer to continuing 8th grade students who apply,128
23155,3,03M291,West End Secondary School,All Students,90,1056,108, Guaranteed offer to continuing 8th grade students who apply,108
39905,8,08X558,Westchester Square Academy,All Students,135,738,91,,135
114269,30,30Q445,William Cullen Bryant High School,All Students,350,1725,552, Guaranteed offer to students who live in the zoned area,552
84246,21,21K620,William E. Grady Career and Technical Education High School,All Students,303,843,197,,303
62979,14,14K558,Williamsburg High School for Architecture and Design,All Students,155,1367,196,,196
63145,14,14K561,Williamsburg Preparatory School,All Students,165,2217,231,,231
56450,12,12X684,Wings Academy,All Students,150,536,83,,150
38574,8,08X282,Women's Academy of Excellence,All Students,108,210,31,,108
76649,19,19K510,World Academy for Total Community Health High School,All Students,128,350,34,,128
95962,25,25Q285,World Journalism Preparatory: A College Board School,All Students,81,702,127, Guaranteed offer to continuing 8th grade students who apply,127
47167,10,10X353,World View High School,All Students,158,1854,191,,191
105614,28,28Q284,York Early College Academy,All Students,81,1745,92, Guaranteed offer to continuing 8th grade students who apply,92
28812,4,04M610,Young Women's Leadership School,All Students,81,875,113, Guaranteed offer to continuing 8th grade students who apply,113
113528,30,30Q286,Young Women's Leadership School Astoria,All Students,81,567,100, Guaranteed offer to continuing 8th grade students who apply,100
107861,28,28Q896,Young Women's Leadership School Queens,All Students,81,529,118, Guaranteed offer to continuing 8th grade students who apply,118
63734,14,14K614,Young Women's Leadership School of Brooklyn,All Students,93,357,97, Guaranteed offer to continuing 8th grade students who apply,97
43961,9,09X568,Young Women's Leadership School of the Bronx,All Students,81,555,112, Guaranteed offer to continuing 8th grade students who apply,112
