,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes,max_offers_and_seats
108802,17,17K531,School for Human Rights The,All Students,116,360,32,,116
32479,2,02M413,School of the Future High School,All Students,108,1930,120, Guaranteed offer to continuing 8th grade students who apply,120
32884,8,08X348,Schuylerville Preparatory High School,All Students,108,355,41,,108
108380,13,13K419,Science Skills Center High School for Science Tec,All Students,258,1209,182,,258
108807,17,17K543,Science Technology and Research Early College Hig,All Students,130,898,163, Guaranteed offer to continuing 8th grade students who apply,163
32818,7,07X221,South Bronx Preparatory: A College Board School,All Students,91,1006,115, Guaranteed offer to continuing 8th grade students who apply,115
32620,3,03M859,Special Music School,All Students,50,405,59, Guaranteed offer to continuing 8th grade students who apply,59
109023,19,19K422,Spring Creek Community School,All Students,81,578,96, Guaranteed offer to continuing 8th grade students who apply,96
32446,2,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,All Students,108,508,95,,108
108610,15,15K667,Sunset Park High School,All Students,366,1111,345,,366
112560,31,31R460,Susan E. Wagner High School,All Students,401,2005,627, Guaranteed offer to students who live in the zoned area,627
32499,2,02M519,Talent Unlimited High School,All Students,176,1322,183,,183
110001,23,23K697,Teachers Preparatory High School,All Students,84,181,24,,84
113996,32,32K552,The Academy of Urban Planning and Engineering,All Students,113,845,134,,134
108604,15,15K497,The Boerum Hill School for International Studies,All Students,100,969,170, Guaranteed offer to continuing 8th grade students who apply,170
33231,11,11X514,The Bronxwood Preparatory Academy,All Students,108,389,151,,151
108718,16,16K688,The Brooklyn Academy of Global Finance,All Students,114,492,74,,114
113852,32,32K168,The Brooklyn School for Math and Research,All Students,108,789,175,,175
113995,32,32K549,The Brooklyn School for Social Justice,All Students,115,406,56,,115
108288,12,12X478,The Cinema School,All Students,81,867,118,,118
32451,2,02M260,The Clinton School,All Students,119,2750,170, Guaranteed offer to continuing 8th grade students who apply,170
32771,6,06M462,The College Academy,All Students,116,644,206,,206
112474,31,31R028,The Eagle Academy for Young Men of Staten Island,All Students,81,102,34, Guaranteed offer to continuing 8th grade students who apply,81
109073,19,19K953,The East New York Arts and Civics High School,All Students,68,180,69,,69
32612,3,03M403,The Global Learning Collaborative,All Students,108,636,123,,123
32473,2,02M399,The High School For Language And Diplomacy,All Students,134,129,21,,134
32520,2,02M655,The High School for Climate Justice,All Students,152,393,129,,152
108484,14,14K478,The High School for Enterprise Business and Techn,All Students,249,999,145,,249
108801,17,17K528,The High School for Global Citizenship,All Students,100,714,79,,100
32516,2,02M600,The High School of Fashion Industries,All Students,474,1932,365,,474
32819,7,07X223,The Laboratory School of Finance and Technology: X,All Students,84,1155,94, Guaranteed offer to continuing 8th grade students who apply,94
33075,10,10X237,The Marie Curie School for Medicine Nursing and,All Students,135,361,87,,135
32607,3,03M299,The Maxine Greene HS for Imaginative Inquiry,All Students,120,142,32,,120
108293,12,12X521,The Metropolitan Soundview High School,All Students,120,416,140,,140
32580,31,31R080,The Michael J. Petrides School,All Students,133,732,182, Guaranteed offer to continuing 8th grade students who apply,182
32833,7,07X551,The Urban Assembly Bronx Academy of Letters,All Students,86,479,108, Guaranteed offer to continuing 8th grade students who apply,108
109062,19,19K764,The Urban Assembly School for Collaborative Health,All Students,81,376,107,,107
32445,2,02M135,The Urban Assembly School for Emergency Management,All Students,115,451,90,,115
32706,5,05M157,The Urban Assembly School for Global Commerce,All Students,81,274,36,,81
32611,3,03M402,The Urban Assembly School for Green Careers,All Students,108,681,155,,155
108385,13,13K483,The Urban Assembly School for Law and Justice,All Students,115,712,137,,137
108480,14,14K454,The Williamsburg High School of Art and Technology,All Students,116,1017,146,,146
33073,10,10X225,Theatre Arts Production Company School,All Students,170,712,61, Guaranteed offer to continuing 8th grade students who apply,170
111216,28,28Q620,Thomas A. Edison Career and Technical Education Hi,All Students,484,5384,603,,603
32716,5,05M670,Thurgood Marshall Academy for Learning and Social,All Students,108,471,172, Guaranteed offer to continuing 8th grade students who apply,172
112559,31,31R455,Tottenville High School,All Students,616,2315,1339, Guaranteed offer to students who live in the zoned area,1339
110431,25,25Q525,Townsend Harris High School,All Students,290,9588,367,,367
109044,19,19K615,Transit Tech Career and Technical Education High S,All Students,315,952,253,,315
32504,2,02M533,Union Square Academy for Health Sciences,All Students,109,689,115,,115
32497,2,02M500,Unity Center for Urban Technologies,All Students,95,267,170,,170
32828,7,07X495,University Heights Secondary School,All Students,130,2319,143,,143
32408,1,01M448,University Neighborhood High School,All Students,105,1570,150,,150
108945,18,18K642,Urban Action Academy,All Students,108,186,24,,108
32463,2,02M305,Urban Assembly Academy of Government and Law The,All Students,100,504,69,,100
32498,2,02M507,Urban Assembly Gateway School for Technology,All Students,108,1564,130,,130
108386,13,13K527,Urban Assembly Institute of Math and Science for Y,All Students,81,250,79, Guaranteed offer to continuing 8th grade students who apply,81
32454,2,02M282,Urban Assembly Maker Academy,All Students,125,887,164,,164
32512,2,02M551,Urban Assembly New York Harbor School,All Students,140,684,186,,186
32960,9,09X241,Urban Assembly School for Applied Math and Science,All Students,73,694,80, Guaranteed offer to continuing 8th grade students who apply,80
109262,20,20K609,Urban Assembly School for Leadership and Empowerme,All Students,81,300,102, Guaranteed offer to continuing 8th grade students who apply,102
32608,3,03M307,Urban Assembly School for Media Studies The,All Students,120,344,92,,120
32712,5,05M369,Urban Assembly School for the Performing Arts,All Students,108,378,71,,108
32467,2,02M316,Urban Assembly School of Business for Young Women,All Students,120,175,27,,120
32461,2,02M300,Urban Assembly School of Design and Construction,All Students,108,320,41,,108
108374,13,13K350,Urban Assembly School of Music and Art,All Students,108,268,37,,108
32964,9,09X263,Validus Preparatory Academy,All Students,90,257,49,,90
32493,2,02M449,Vanguard High School,All Students,110,789,156,,156
110396,25,25Q240,Veritas Academy,All Students,130,538,103,,130
108931,18,18K576,Victory Collegiate High School,All Students,140,229,57,,140
109055,19,19K660,W. H. Maxwell Career and Technical Education High,All Students,305,819,146,,305
32613,3,03M415,Wadleigh Secondary School for the Performing & Vis,All Students,148,849,82, Guaranteed offer to continuing 8th grade students who apply,148
32836,7,07X625,Walkabout Bronx High School,All Students,68,333,86, Guaranteed offer to continuing 8th grade students who apply,86
108503,6,06M348,Washington Heights Expeditionary Learning School,All Students,115,764,137, Guaranteed offer to continuing 8th grade students who apply,137
33076,10,10X243,West Bronx Academy for the Future,All Students,90,1047,105, Guaranteed offer to continuing 8th grade students who apply,105
32606,3,03M291,West End Secondary School,All Students,90,1155,128, Guaranteed offer to continuing 8th grade students who apply,128
32898,8,08X558,Westchester Square Academy,All Students,135,719,132,,135
111924,30,30Q445,William Cullen Bryant High School,All Students,300,1898,571, Guaranteed offer to students who live in the zoned area,571
109489,21,21K620,William E. Grady Career and Technical Education Hi,All Students,306,808,202,,306
108486,14,14K558,Williamsburg High School for Architecture and Desi,All Students,155,1449,197,,197
108487,14,14K561,Williamsburg Preparatory School,All Students,165,1362,225,,225
108298,12,12X684,Wings Academy,All Students,150,373,79,,150
32877,8,08X282,Women's Academy of Excellence,All Students,108,160,33,,108
109042,19,19K510,World Academy for Total Community Health High Scho,All Students,128,287,27,,128
110402,25,25Q285,World Journalism Preparatory: A College Board Scho,All Students,81,522,114, Guaranteed offer to continuing 8th grade students who apply,114
33093,10,10X353,World View High School,All Students,158,1260,179,,179
111205,28,28Q284,York Early College Academy,All Students,81,1592,92, Guaranteed offer to continuing 8th grade students who apply,92
32668,4,04M610,Young Women's Leadership School,All Students,81,619,118, Guaranteed offer to continuing 8th grade students who apply,118
111918,30,30Q286,Young Women's Leadership School Astoria,All Students,81,554,101, Guaranteed offer to continuing 8th grade students who apply,101
111221,28,28Q896,Young Women's Leadership School Queens,All Students,81,447,100, Guaranteed offer to continuing 8th grade students who apply,100
108495,14,14K614,Young Women's Leadership School of Brooklyn,All Students,93,263,55, Guaranteed offer to continuing 8th grade students who apply,93
32989,9,09X568,Young Women's Leadership School of the Bronx,All Students,81,479,117, Guaranteed offer to continuing 8th grade students who apply,117
